Datecadangan,Close,warna,ML,symbol
2007-11-16,3569.89990234375,red,LR,ANTM
2007-11-19,3548.89990234375,red,LR,ANTM
2007-11-20,3716.89990234375,red,LR,ANTM
2007-11-21,3737.89990234375,red,LR,ANTM
2007-11-22,3653.89990234375,red,LR,ANTM
2007-11-23,3905.889892578125,red,LR,ANTM
2007-11-26,4199.8798828125,red,LR,ANTM
2007-11-27,4115.89013671875,red,LR,ANTM
2007-11-28,4241.8798828125,red,LR,ANTM
2007-11-29,4031.889892578125,red,LR,ANTM
2007-11-30,3926.889892578125,red,LR,ANTM
2007-12-03,3884.889892578125,red,LR,ANTM
2007-12-04,3842.889892578125,red,LR,ANTM
2007-12-05,3695.89990234375,red,LR,ANTM
2007-12-06,3905.889892578125,red,LR,ANTM
2007-12-07,3758.89990234375,red,LR,ANTM
2007-12-10,3758.89990234375,red,LR,ANTM
2007-12-11,3800.89990234375,red,LR,ANTM
2007-12-12,3863.889892578125,red,LR,ANTM
2007-12-13,3758.89990234375,red,LR,ANTM
2007-12-14,3737.89990234375,red,LR,ANTM
2007-12-17,3506.89990234375,red,LR,ANTM
2007-12-18,3422.909912109375,red,LR,ANTM
2007-12-19,3422.909912109375,red,LR,ANTM
2007-12-26,3590.89990234375,red,LR,ANTM
2007-12-27,3716.89990234375,red,LR,ANTM
2007-12-28,3758.89990234375,red,LR,ANTM
2008-01-02,3716.89990234375,red,LR,ANTM
2008-01-03,3737.89990234375,red,LR,ANTM
2008-01-04,3800.89990234375,red,LR,ANTM
2008-01-07,3716.89990234375,red,LR,ANTM
2008-01-08,3695.89990234375,red,LR,ANTM
2008-01-09,3737.89990234375,red,LR,ANTM
2008-01-14,3779.89990234375,red,LR,ANTM
2008-01-15,3695.89990234375,red,LR,ANTM
2008-01-16,3275.909912109375,red,LR,ANTM
2008-01-17,3359.909912109375,red,LR,ANTM
2008-01-18,3107.909912109375,red,LR,ANTM
2008-01-21,2792.919921875,red,LR,ANTM
2008-01-22,2456.929931640625,red,LR,ANTM
2008-01-23,2834.919921875,red,LR,ANTM
2008-01-24,2750.919921875,red,LR,ANTM
2008-01-25,2855.919921875,red,LR,ANTM
2008-01-28,2666.929931640625,red,LR,ANTM
2008-01-29,2729.919921875,red,LR,ANTM
2008-01-30,3023.919921875,red,LR,ANTM
2008-01-31,3002.919921875,red,LR,ANTM
2008-02-01,3275.909912109375,red,LR,ANTM
2008-02-04,3296.909912109375,red,LR,ANTM
2008-02-05,3212.909912109375,red,LR,ANTM
2008-02-06,2981.919921875,red,LR,ANTM
2008-02-11,3044.919921875,red,LR,ANTM
2008-02-12,3233.909912109375,red,LR,ANTM
2008-02-13,3191.909912109375,red,LR,ANTM
2008-02-14,3548.89990234375,red,LR,ANTM
2008-02-15,3443.909912109375,red,LR,ANTM
2008-02-18,3338.909912109375,red,LR,ANTM
2008-02-19,3422.909912109375,red,LR,ANTM
2008-02-20,3338.909912109375,red,LR,ANTM
2008-02-21,3401.909912109375,red,LR,ANTM
2008-02-22,3485.89990234375,red,LR,ANTM
2008-02-25,3464.89990234375,red,LR,ANTM
2008-02-26,3359.909912109375,red,LR,ANTM
2008-02-27,3359.909912109375,red,LR,ANTM
2008-02-28,3422.909912109375,red,LR,ANTM
2008-02-29,3443.909912109375,red,LR,ANTM
2008-03-03,3338.909912109375,red,LR,ANTM
2008-03-04,3401.909912109375,red,LR,ANTM
2008-03-05,3401.909912109375,red,LR,ANTM
2008-03-06,3443.909912109375,red,LR,ANTM
2008-03-10,3296.909912109375,red,LR,ANTM
2008-03-11,3254.909912109375,red,LR,ANTM
2008-03-12,3254.909912109375,red,LR,ANTM
2008-03-13,3023.919921875,red,LR,ANTM
2008-03-14,2960.919921875,red,LR,ANTM
2008-03-17,2792.919921875,red,LR,ANTM
2008-03-18,2918.919921875,red,LR,ANTM
2008-03-19,2750.919921875,red,LR,ANTM
2008-03-24,2708.929931640625,red,LR,ANTM
2008-03-25,2876.919921875,red,LR,ANTM
2008-03-26,2897.919921875,red,LR,ANTM
2008-03-27,2897.919921875,red,LR,ANTM
2008-03-28,2918.919921875,red,LR,ANTM
2008-03-31,2813.919921875,red,LR,ANTM
2008-04-01,2708.929931640625,red,LR,ANTM
2008-04-02,2624.929931640625,red,LR,ANTM
2008-04-03,2477.929931640625,red,LR,ANTM
2008-04-04,2645.929931640625,red,LR,ANTM
2008-04-07,2687.929931640625,red,LR,ANTM
2008-04-08,2582.929931640625,red,LR,ANTM
2008-04-09,2477.929931640625,red,LR,ANTM
2008-04-10,2498.929931640625,red,LR,ANTM
2008-04-11,2624.929931640625,red,LR,ANTM
2008-04-14,2582.929931640625,red,LR,ANTM
2008-04-15,2603.929931640625,red,LR,ANTM
2008-04-16,2918.919921875,red,LR,ANTM
2008-04-17,2876.919921875,red,LR,ANTM
2008-04-18,2981.919921875,red,LR,ANTM
2008-04-21,2897.919921875,red,LR,ANTM
2008-04-22,2897.919921875,red,LR,ANTM
2008-04-23,3023.919921875,red,LR,ANTM
2008-04-24,2897.919921875,red,LR,ANTM
2008-04-25,2876.919921875,red,LR,ANTM
2008-04-28,2897.919921875,red,LR,ANTM
2008-04-29,2960.919921875,red,LR,ANTM
2008-04-30,2939.919921875,red,LR,ANTM
2008-05-05,2918.919921875,red,LR,ANTM
2008-05-06,3002.919921875,red,LR,ANTM
2008-05-07,3044.919921875,red,LR,ANTM
2008-05-08,3086.919921875,red,LR,ANTM
2008-05-09,3107.909912109375,red,LR,ANTM
2008-05-12,3086.919921875,red,LR,ANTM
2008-05-13,3107.909912109375,red,LR,ANTM
2008-05-14,3107.909912109375,red,LR,ANTM
2008-05-15,3128.909912109375,red,LR,ANTM
2008-05-16,3170.909912109375,red,LR,ANTM
2008-05-21,3107.909912109375,red,LR,ANTM
2008-05-22,3023.919921875,red,LR,ANTM
2008-05-23,2834.919921875,red,LR,ANTM
2008-05-26,2708.929931640625,red,LR,ANTM
2008-05-27,2708.929931640625,red,LR,ANTM
2008-05-28,2792.919921875,red,LR,ANTM
2008-05-29,2750.919921875,red,LR,ANTM
2008-05-30,2729.919921875,red,LR,ANTM
2008-06-02,2813.919921875,red,LR,ANTM
2008-06-03,2792.919921875,red,LR,ANTM
2008-06-04,2708.929931640625,red,LR,ANTM
2008-06-05,2771.919921875,red,LR,ANTM
2008-06-06,2708.929931640625,red,LR,ANTM
2008-06-09,2666.929931640625,red,LR,ANTM
2008-06-10,2582.929931640625,red,LR,ANTM
2008-06-11,2624.929931640625,red,LR,ANTM
2008-06-12,2834.919921875,red,LR,ANTM
2008-06-13,2771.919921875,red,LR,ANTM
2008-06-16,2729.919921875,red,LR,ANTM
2008-06-17,2666.929931640625,red,LR,ANTM
