Datecadangan,Close,warna
2005-02-18,3575.0,red
2005-02-21,3575.0,red
2005-02-22,3575.0,red
2005-02-23,3575.0,red
2005-02-24,3575.0,red
2005-02-25,3500.0,red
2005-02-28,3550.0,red
2005-03-01,3650.0,red
2005-03-02,3600.0,red
2005-03-03,3650.0,red
2005-03-04,3650.0,red
2005-03-07,3675.0,red
2005-03-08,3700.0,red
2005-03-09,3675.0,red
2005-03-10,3625.0,red
2005-03-14,3650.0,red
2005-03-15,3650.0,red
2005-03-16,3650.0,red
2005-03-17,3650.0,red
2005-03-18,3825.0,red
2005-03-21,3850.0,red
2005-03-22,3900.0,red
2005-03-23,3850.0,red
2005-03-24,3775.0,red
2005-03-28,3725.0,red
2005-03-29,3650.0,red
2005-03-30,3675.0,red
2005-03-31,3825.0,red
2005-04-01,3825.0,red
2005-04-04,3825.0,red
2005-04-05,3800.0,red
2005-04-06,3800.0,red
2005-04-07,3850.0,red
2005-04-08,3825.0,red
2005-04-11,3800.0,red
2005-04-12,3875.0,red
2005-04-13,3900.0,red
2005-04-14,3825.0,red
2005-04-15,3800.0,red
2005-04-18,3650.0,red
2005-04-19,3675.0,red
2005-04-20,3675.0,red
2005-04-21,3625.0,red
2005-04-25,3650.0,red
2005-04-26,3650.0,red
2005-04-27,3650.0,red
2005-04-28,3700.0,red
2005-04-29,3750.0,red
2005-05-02,3725.0,red
2005-05-03,3850.0,red
2005-05-04,3825.0,red
2005-05-06,3775.0,red
2005-05-09,3725.0,red
2005-05-10,3700.0,red
2005-05-11,3650.0,red
2005-05-12,3650.0,red
2005-05-13,3700.0,red
2005-05-16,3675.0,red
2005-05-17,3725.0,red
2005-05-18,3725.0,red
2005-05-19,3725.0,red
2005-05-20,3725.0,red
2005-05-23,3700.0,red
2005-05-25,3800.0,red
2005-05-26,3800.0,red
2005-05-27,3825.0,red
2005-05-30,3825.0,red
2005-05-31,4575.0,red
2005-06-01,4000.0,red
2005-06-02,4025.0,red
2005-06-03,4125.0,red
2005-06-06,4100.0,red
2005-06-07,4075.0,red
2005-06-08,4150.0,red
2005-06-09,4100.0,red
2005-06-10,4125.0,red
2005-06-13,4075.0,red
2005-06-14,4100.0,red
2005-06-15,4075.0,red
2005-06-16,4075.0,red
2005-06-17,4150.0,red
2005-06-20,4100.0,red
2005-06-21,4075.0,red
2005-06-22,4075.0,red
2005-06-23,4150.0,red
2005-06-24,4125.0,red
2005-06-27,4075.0,red
2005-06-28,4100.0,red
2005-06-29,4100.0,red
2005-06-30,4075.0,red
2005-07-01,4100.0,red
2005-07-04,4200.0,red
2005-07-05,4275.0,red
2005-07-06,4125.0,red
2005-07-07,4200.0,red
2005-07-08,4200.0,red
2005-07-11,4150.0,red
2005-07-12,4125.0,red
2005-07-13,4125.0,red
2005-07-14,4100.0,red
2005-07-15,4100.0,red
2005-07-18,4175.0,red
2005-07-19,4125.0,red
2005-07-20,4150.0,red
2005-07-21,4200.0,red
2005-07-22,4275.0,red
2005-07-25,4300.0,red
2005-07-26,4400.0,red
2005-07-27,4350.0,red
2005-07-28,4475.0,red
2005-07-29,4350.0,red
2005-08-01,4500.0,red
2005-08-02,4600.0,red
2005-08-03,4675.0,red
2005-08-04,4550.0,red
2005-08-05,4400.0,red
2005-08-08,4300.0,red
2005-08-09,4325.0,red
2005-08-10,4375.0,red
2005-08-11,4400.0,red
2005-08-12,4500.0,red
2005-08-15,4325.0,red
2005-08-16,4250.0,red
2005-08-18,4250.0,red
2005-08-19,4450.0,red
2005-08-22,4425.0,red
2005-08-23,4500.0,red
2005-08-24,4450.0,red
2005-08-25,4525.0,red
2005-08-26,4400.0,red
2005-08-29,4425.0,red
2005-08-30,4325.0,red
2005-08-31,4225.0,red
2005-09-01,4175.0,red
2005-09-05,4075.0,red
2005-09-06,4050.0,red
2005-09-07,4050.0,red
2005-09-08,4125.0,red
2005-09-09,4125.0,red
2005-09-12,4100.0,red
2005-09-13,4050.0,red
2005-09-14,3825.0,red
2005-09-15,3800.0,red
2005-09-16,3900.0,red
2005-09-19,4000.0,red
2005-09-20,4000.0,red
2005-09-21,3950.0,red
2005-09-22,3900.0,red
2005-09-23,3875.0,red
2005-09-26,4025.0,red
2005-09-27,4050.0,red
2005-09-28,4050.0,red
2005-09-29,4050.0,red
2005-09-30,4075.0,red
2005-10-03,4200.0,red
2005-10-04,4375.0,red
2005-10-05,4300.0,red
2005-10-06,4450.0,red
2005-10-07,4625.0,red
2005-10-10,4675.0,red
2005-10-11,4600.0,red
2005-10-12,4625.0,red
2005-10-13,4600.0,red
2005-10-14,4575.0,red
2005-10-17,4450.0,red
2005-10-18,4350.0,red
2005-10-19,4300.0,red
2005-10-20,4175.0,red
2005-10-21,4175.0,red
2005-10-24,4125.0,red
2005-10-25,4100.0,red
2005-10-26,4275.0,red
2005-10-27,4275.0,red
2005-10-28,4250.0,red
2005-10-31,4375.0,red
2005-11-01,4350.0,red
2005-11-09,4600.0,red
2005-11-10,4575.0,red
2005-11-11,4450.0,red
2005-11-14,4250.0,red
2005-11-15,4200.0,red
2005-11-16,4300.0,red
2005-11-17,4225.0,red
2005-11-18,4375.0,red
2005-11-21,4400.0,red
2005-11-22,4400.0,red
2005-11-23,4250.0,red
2005-11-24,4300.0,red
2005-11-25,4300.0,red
2005-11-28,4300.0,red
2005-11-29,4400.0,red
2005-11-30,4325.0,red
2005-12-01,4300.0,red
2005-12-02,4450.0,red
2005-12-05,4375.0,red
2005-12-06,4450.0,red
2005-12-07,4450.0,red
2005-12-08,4450.0,red
2005-12-09,4375.0,red
2005-12-12,4300.0,red
2005-12-13,4275.0,red
2005-12-14,4325.0,red
2005-12-15,4325.0,red
2005-12-16,4275.0,red
2005-12-19,4275.0,red
