Datecadangan,Predictions,warna
2011-03-23,8835.052198538324,blue
2011-03-24,8837.256223610835,blue
2011-03-25,8839.46024868358,blue
2011-03-28,8846.072323901579,blue
2011-03-29,8848.27634897409,blue
2011-03-30,8850.480374046834,blue
2011-03-31,8852.684399119345,blue
2011-04-01,8854.88842419209,blue
2011-04-04,8861.500499409856,blue
2011-04-05,8863.7045244826,blue
2011-04-06,8865.908549555112,blue
2011-04-07,8868.112574627856,blue
2011-04-08,8870.316599700367,blue
2011-04-11,8876.928674918367,blue
2011-04-12,8879.13269999111,blue
2011-04-13,8881.336725063622,blue
2011-04-14,8883.540750136366,blue
2011-04-15,8885.744775208877,blue
2011-04-18,8892.356850426877,blue
2011-04-19,8894.560875499388,blue
2011-04-20,8896.764900572132,blue
2011-04-21,8898.968925644644,blue
2011-04-25,8907.785025935154,blue
2011-04-26,8909.989051007899,blue
2011-04-27,8912.19307608041,blue
2011-04-28,8914.397101153154,blue
2011-04-29,8916.601126225898,blue
2011-05-02,8923.213201443665,blue
2011-05-03,8925.417226516409,blue
2011-05-04,8927.62125158892,blue
2011-05-05,8929.825276661664,blue
2011-05-06,8932.029301734176,blue
2011-05-09,8938.641376952175,blue
2011-05-10,8940.845402024686,blue
2011-05-11,8943.04942709743,blue
2011-05-12,8945.253452169942,blue
2011-05-13,8947.457477242686,blue
2011-05-16,8954.069552460685,blue
2011-05-18,8958.47760260594,blue
2011-05-19,8960.681627678452,blue
2011-05-20,8962.885652751196,blue
2011-05-23,8969.497727968963,blue
2011-05-24,8971.701753041707,blue
2011-05-25,8973.905778114218,blue
2011-05-26,8976.109803186962,blue
2011-05-27,8978.313828259474,blue
2011-05-30,8984.925903477473,blue
2011-05-31,8987.129928550217,blue
2011-06-01,8989.333953622729,blue
2011-06-03,8993.742003767984,blue
2011-06-06,9000.354078985984,blue
2011-06-07,9002.558104058495,blue
2011-06-08,9004.762129131239,blue
2011-06-09,9006.96615420375,blue
2011-06-10,9009.170179276494,blue
2011-06-13,9015.782254494261,blue
2011-06-14,9017.986279567005,blue
2011-06-15,9020.190304639516,blue
2011-06-16,9022.39432971226,blue
2011-06-17,9024.598354785005,blue
2011-06-20,9031.210430002771,blue
2011-06-21,9033.414455075515,blue
2011-06-22,9035.618480148027,blue
2011-06-23,9037.82250522077,blue
2011-06-24,9040.026530293282,blue
2011-06-27,9046.638605511282,blue
2011-06-28,9048.842630583793,blue
2011-06-30,9053.250680729048,blue
2011-07-01,9055.454705801792,blue
2011-07-05,9064.270806092303,blue
2011-07-06,9066.474831165047,blue
2011-07-07,9068.678856237559,blue
2011-07-08,9070.882881310303,blue
2011-07-11,9077.49495652807,blue
2011-07-12,9079.698981600814,blue
2011-07-13,9081.903006673325,blue
2011-07-14,9084.107031746069,blue
2011-07-15,9086.31105681858,blue
2011-07-18,9092.92313203658,blue
2011-07-19,9095.127157109324,blue
2011-07-20,9097.331182181835,blue
2011-07-21,9099.53520725458,blue
2011-07-22,9101.73923232709,blue
2011-07-25,9108.35130754509,blue
2011-07-26,9110.555332617601,blue
2011-07-27,9112.759357690345,blue
2011-07-28,9114.963382762857,blue
